Seed_ID,Packet_ID,pedigree,DPI,repetition,isolate,inocMethod,isolateSpecies,agarType,SoilType,seedNum,block,germinated,standCount7,standCount14,escape,lesionPercent,rootLength,rootMass,notes
91,,NC304,14,rep3,control,MockInoc,control,na,BM2,10,5,1,1,0,0,0,187.71,0.1605,
4,,Oh7B,14,rep3,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BM2,1,1,1,1,0,0,15,168.51,0.0782,
21,,Oh7B,14,rep3,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BM2,5,3,1,1,0,0,0,188.4,0.0943,
45,,Oh7B,14,rep3,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BM2,9,5,1,1,0,0,10,178.21,0.0509,
61,,Oh7B,14,rep3,control,MockInoc,control,na,BM2,2,1,1,1,0,0,0,193.97,0.1686,
75,,Oh7B,14,rep3,control,MockInoc,control,na,BM2,6,3,1,1,0,0,0,176.66,0.0713,
96,,Oh7B,14,rep3,control,MockInoc,control,na,BM2,10,5,1,1,0,0,10,152.69,0.0663,
10,,B73,14,rep2,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BMDI,2,1,1,1,1,0,0,179.29,0.1559,
34,,B73,14,rep2,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BMDI,4,2,0,0,0,0,100,0,0,
45,,B73,14,rep2,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BMDI,5,3,0,0,1,0,40,149.67,0.0357,
59,,B73,14,rep2,control,MockInoc,control,na,BMDI,7,4,1,1,1,0,0,189.12,0.1144,
77,,B73,14,rep2,control,MockInoc,control,na,BMDI,9,5,1,1,1,0,0,181.29,0.1359,
91,,B73,14,rep2,control,MockInoc,control,na,BMDI,11,6,1,1,1,0,0,180.26,0.0899,
17,,CML103,14,rep2,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BMDI,2,1,1,1,1,0,0,186.38,0.2163,
29,,CML103,14,rep2,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BMDI,4,2,1,1,1,0,0,174.45,0.1563,
41,,CML103,14,rep2,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BMDI,5,3,1,1,1,0,0,177.03,0.1525,
56,,CML103,14,rep2,control,MockInoc,control,na,BMDI,7,4,1,1,1,0,0,180.25,0.1289,
74,,CML103,14,rep2,control,MockInoc,control,na,BMDI,9,5,1,1,1,0,0,186.23,0.1338,
99,,CML103,14,rep2,control,MockInoc,control,na,BMDI,11,6,1,1,1,0,0,171.22,0.1428,
14,,CML277,14,rep2,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BMDI,2,1,0,0,1,0,95,2.73,0.0091,
35,,CML277,14,rep2,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BMDI,4,2,0,0,0,0,100,0,0,
43,,CML277,14,rep2,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BMDI,5,3,0,0,0,0,100,0,0,
60,,CML277,14,rep2,control,MockInoc,control,na,BMDI,7,4,0,0,1,0,30,197.86,0.0953,
73,,CML277,14,rep2,control,MockInoc,control,na,BMDI,9,5,1,1,1,0,0,200.79,0.1129,
93,,CML277,14,rep2,control,MockInoc,control,na,BMDI,11,6,1,1,1,0,0,152.87,0.072,
16,,CML333,14,rep2,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BMDI,2,1,0,0,1,0,5,170.68,0.1016,
36,,CML333,14,rep2,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BMDI,4,2,1,1,1,0,0,183.31,0.0801,
39,,CML333,14,rep2,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BMDI,5,3,1,1,1,0,0,179.06,0.094,
57,,CML333,14,rep2,control,MockInoc,control,na,BMDI,7,4,0,0,1,0,0,164.44,0.0601,
81,,CML333,14,rep2,control,MockInoc,control,na,BMDI,9,5,1,1,1,0,0,190.69,0.1674,
95,,CML333,14,rep2,control,MockInoc,control,na,BMDI,11,6,1,1,1,0,0,178.33,0.0975,
12,,H100,14,rep2,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BMDI,2,1,1,1,1,0,60,149.47,0.0661,
31,,H100,14,rep2,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BMDI,4,2,1,1,1,0,10,174.44,0.0806,
37,,H100,14,rep2,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BMDI,5,3,1,1,1,0,0,180.25,0.1628,
61,,H100,14,rep2,control,MockInoc,control,na,BMDI,7,4,1,1,1,0,0,172.96,0.1146,
80,,H100,14,rep2,control,MockInoc,control,na,BMDI,9,5,1,1,1,0,5,182.82,0.0873,
92,,H100,14,rep2,control,MockInoc,control,na,BMDI,11,6,1,1,1,0,0,133.45,0.1871,
18,,Il14H,14,rep2,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BMDI,2,1,0,0,0,0,100,0,0,
32,,Il14H,14,rep2,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BMDI,4,2,0,0,1,0,70,76.02,0.0112,
38,,Il14H,14,rep2,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BMDI,5,3,0,0,0,0,100,0,0,
55,,Il14H,14,rep2,control,MockInoc,control,na,BMDI,7,4,1,1,1,0,10,150.79,0.0832,
79,,Il14H,14,rep2,control,MockInoc,control,na,BMDI,9,5,1,1,1,0,0,182.13,0.1665,
98,,Il14H,14,rep2,control,MockInoc,control,na,BMDI,11,6,0,0,0,0,100,0,0,
15,,Ms71,14,rep2,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BMDI,2,1,1,1,1,1,50,163.8,0.0122,albino
33,,Ms71,14,rep2,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BMDI,4,2,1,1,1,0,0,176.78,0.1005,
