Seed_ID,Packet_ID,pedigree,DPI,repetition,isolate,inocMethod,isolateSpecies,agarType,SoilType,seedNum,block,germinated,standCount7,standCount14,escape,lesionPercent,rootLength,rootMass,percentLengthPedByIsolate,percentMassPedByIsolate
131,,Il14H,12,GH3,17PR016B.1,GuuCornmeal,G.uu,na,BMDI,17,6,0,0,0,0,100,0,0,0,0
140,,Il14H,12,GH3,17PR016B.1,GuuCornmeal,G.uu,na,BMDI,18,6,0,0,0,0,100,0,0,0,0
53,,Ms71,14,GH2,17PR016B.1,GuuCornmeal,G.uu,na,BMDI,11,6,1,1,0,0,30,151.82,0.0788,0,0
41,,NC344,12,GH3,control,MockInoc,Standard,na,BMDI,6,2,1,1,1,0,0,168.75,0.072,0,0
49,,NC344,12,GH3,control,MockInoc,Standard,na,BMDI,7,3,1,1,1,0,5,187.88,0.0651,0,0
58,,NC344,12,GH3,control,MockInoc,Standard,na,BMDI,8,3,1,1,1,0,0,204.67,0.0606,0,0
70,,NC344,12,GH3,control,MockInoc,Standard,na,BMDI,9,3,1,1,1,0,0,166.08,0.0685,0,0
128,,NC344,12,GH3,17PR016B.1,GuuCornmeal,G.uu,na,BMDI,16,6,1,1,1,0,80,186.82,0.035,0,0
129,,NC344,12,GH3,17PR016B.1,GuuCornmeal,G.uu,na,BMDI,17,6,1,0,1,0,90,51.8,0.0222,0,0
143,,NC344,12,GH3,17PR016B.1,GuuCornmeal,G.uu,na,BMDI,18,6,0,0,0,0,100,0,0,0,0
36,,Oh7B,14,GH2,17PR016B.1,GuuCornmeal,G.uu,na,BMDI,7,4,0,0,0,0,100,0,0,0,0
47,,Oh7B,14,GH2,17PR016B.1,GuuCornmeal,G.uu,na,BMDI,11,6,0,0,0,0,100,0,0,0,0
39,,Oh7B,12,GH3,control,MockInoc,Standard,na,BMDI,5,2,0,0,0,0,100,0,0,0,0
44,,Oh7B,12,GH3,control,MockInoc,Standard,na,BMDI,6,2,1,1,1,0,5,197.84,0.0762,0,0
56,,Oh7B,12,GH3,control,MockInoc,Standard,na,BMDI,7,3,0,0,0,0,100,0,0,0,0
57,,Oh7B,12,GH3,control,MockInoc,Standard,na,BMDI,8,3,0,0,0,0,100,0,0,0,0
67,,Oh7B,12,GH3,control,MockInoc,Standard,na,BMDI,9,3,1,1,1,0,0,206.34,0.0828,0,0
116,,Oh7B,12,GH3,17PR016B.1,GuuCornmeal,G.uu,na,BMDI,15,5,0,0,0,0,100,0,0,0,0
124,,Oh7B,12,GH3,17PR016B.1,GuuCornmeal,G.uu,na,BMDI,16,6,0,0,0,0,100,0,0,0,0
135,,Oh7B,12,GH3,17PR016B.1,GuuCornmeal,G.uu,na,BMDI,17,6,1,0,1,0,70,102.43,0.0374,0,0
138,,Oh7B,12,GH3,17PR016B.1,GuuCornmeal,G.uu,na,BMDI,18,6,0,0,0,0,100,0,0,0,0
